food_id,canonical_short_food_name,canonical_product_name,canonical_food_category,reviewed_food_category,resolved_food_category,resolved_food_category_key,category_source,food_id_event_count,food_id_weight_g_total,amed_component,suggested_amed_component,mapping_status,mapping_basis
1012405,Broth,Clear meat soup,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,518,141373,red_processed_meat,,mapped,direct_food_category
1013058,Meatballs,Beef patties fried with canola oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,518,56389,red_processed_meat,,mapped,direct_food_category
1011257,Chopped Liver,Chopped liver with canola oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,509,28335,red_processed_meat,,mapped,direct_food_category
1008422,Beef,roast beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,479,50777,red_processed_meat,,mapped,direct_food_category
1009083,Moussaka,Beef Moussaka,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,452,109523,red_processed_meat,,mapped,direct_food_category
1009098,Carpaccio,Carpaccio,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,449,41721.64,red_processed_meat,,mapped,direct_food_category
1007644,Roast beef,Roast beef,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,433,35812,red_processed_meat,,mapped,direct_food_category
1012907,Steak,Eye beef steak entrecote,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,429,89925.6,red_processed_meat,,mapped,direct_food_category
1012479,Veal kebabs,Veal kebab,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,425,56572,red_processed_meat,,mapped,direct_food_category
1010613,Pork,Cooked smoked or salted pork cutlet/bacon,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,410,21066,red_processed_meat,,mapped,direct_food_category
1011005,Hamburger,Beef hamburger 15% grilled fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,406,61396.35,red_processed_meat,,mapped,direct_food_category
1008253,Beef Cholent,"Beef stew with wheat, potatoes and egg","Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,367,107512.5,red_processed_meat,,mapped,direct_food_category
1012160,Lamb Kebabs,Mutton kebab,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,354,50458.4,red_processed_meat,,mapped,direct_food_category
1014862,Beef,Beef asado clean of fat and bone in a wet roast,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,345,56332,red_processed_meat,,mapped,direct_food_category
1012400,Steak,Grilled beef steak,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,317,69739.9,red_processed_meat,,mapped,direct_food_category
1010163,Hamburger,Beef hamburger 15% fat,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,314,52834.6,red_processed_meat,,mapped,direct_food_category
1012530,Minced meat,Ground beef fried in olive oil,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,277,28369,red_processed_meat,,mapped,direct_food_category
1008365,Beef tongue,Boiled tongue,"Beef, veal, lamb, and other meat products",,"Beef, veal, lamb, and other meat products","beef, veal, lamb, and other meat products",original,270,25671.5,red_processed_meat,,mapped,direct_food_category
